date,open,close,high,low,volume
2022-09-07,1032.020,1049.580,1065.170,1031.900,10687587.000
2022-09-08,1050.320,1040.770,1054.740,1040.050,9081518.000
2022-09-09,1039.590,1033.780,1042.110,1022.680,8187492.000
2022-09-13,1034.500,1031.170,1046.180,1028.770,8362207.000
2022-09-14,1018.070,1031.300,1033.450,1016.870,8314302.000
2022-09-15,1035.760,1000.080,1037.630,990.850,11337668.000
2022-09-16,997.360,998.520,1018.720,997.360,9295366.000
2022-09-19,997.530,975.550,1003.150,970.870,9222551.000
2022-09-20,982.370,985.150,997.220,977.270,7670276.000
2022-09-21,980.620,970.390,983.800,968.710,8649923.000
2022-09-22,964.960,975.870,986.430,963.890,8075362.000
2022-09-23,975.580,960.940,984.110,956.110,9223295.000
2022-09-26,955.040,961.830,978.490,952.180,10879005.000
2022-09-27,963.490,976.450,976.450,959.200,10265123.000
2022-09-28,973.470,956.190,977.660,955.320,9450678.000
2022-09-29,962.450,961.470,970.110,955.610,8817168.000
2022-09-30,956.400,939.380,961.890,937.860,8064603.000
2022-10-10,933.020,897.340,934.960,895.200,9226559.000
2022-10-11,898.370,892.740,904.470,889.450,8002565.000
2022-10-12,890.290,924.910,926.190,871.450,10789074.000
2022-10-13,917.400,926.520,942.870,916.370,11210006.000
2022-10-14,936.420,954.920,961.500,925.930,13755285.000
2022-10-17,948.640,963.220,964.950,946.940,14404748.000
2022-10-18,964.970,960.000,968.130,952.990,13254453.000
2022-10-19,957.730,949.500,963.110,949.500,11824277.000
2022-10-20,944.160,963.950,976.710,938.330,13492214.000
2022-10-21,961.480,967.980,972.810,951.670,12339327.000
2022-10-24,967.560,969.490,989.650,960.620,13263780.000
2022-10-25,962.970,971.330,984.480,955.570,12032286.000
2022-10-26,972.450,1003.250,1010.980,963.360,14944917.000
2022-10-27,1008.710,1004.910,1021.560,995.550,15104565.000
2022-10-28,996.610,993.720,1015.420,989.230,14442282.000
2022-10-31,991.890,1010.330,1022.230,991.890,16546709.000
2022-11-01,1011.960,1024.520,1029.640,1000.970,15026220.000
2022-11-02,1020.070,1037.180,1046.820,1017.990,16917400.000
2022-11-03,1028.430,1048.070,1055.120,1027.040,14597022.000
2022-11-04,1048.890,1072.870,1077.490,1048.890,15534409.000
2022-11-07,1070.140,1061.350,1080.790,1058.130,15112128.000
2022-11-08,1061.710,1051.710,1062.720,1040.870,12506547.000
2022-11-09,1049.720,1037.530,1053.140,1036.950,11487172.000
2022-11-10,1033.130,1023.060,1044.720,1021.110,14736055.000
2022-11-11,1053.860,1023.260,1059.760,1023.260,17654333.000
2022-11-14,1021.410,1022.910,1031.710,1012.670,13552908.000
2022-11-15,1022.040,1052.040,1054.360,1021.140,15939905.000
2022-11-16,1052.410,1036.490,1054.340,1034.200,13316508.000
2022-11-17,1029.310,1041.670,1041.750,1015.050,13408446.000
2022-11-18,1039.850,1031.990,1045.950,1030.740,14299613.000
2022-11-21,1023.900,1032.470,1032.950,1020.060,12221752.000
2022-11-22,1029.500,1017.820,1030.370,1015.140,14199148.000
2022-11-23,1014.740,1017.020,1021.910,994.500,14127160.000
2022-11-24,1019.180,1015.360,1024.240,1013.480,11487495.000
2022-11-25,1012.800,999.990,1012.800,999.840,11343303.000
2022-11-28,983.590,992.810,997.900,980.760,11452162.000
2022-11-29,995.340,1002.450,1003.610,988.070,12619262.000
2022-11-30,999.610,1000.260,1003.730,991.490,12195134.000
2022-12-01,1008.710,1009.330,1017.010,1004.320,13135534.000
2022-12-02,1005.630,1008.140,1021.400,1005.160,12601183.000
2022-12-05,1011.280,1003.600,1011.290,999.490,15041170.000
2022-12-06,1003.310,1003.140,1014.330,999.520,13059792.000
2022-12-07,999.280,1000.470,1008.850,996.940,12105057.000
2022-12-08,999.750,997.310,1005.880,995.880,12358659.000
2022-12-09,998.740,1001.690,1004.360,992.630,16837179.000
2022-12-12,1000.290,1004.620,1011.760,996.230,14016449.000
2022-12-13,1002.540,989.310,1004.210,989.180,11266264.000
2022-12-14,1003.570,984.220,1004.740,983.090,11259073.000
2022-12-15,985.150,989.200,992.970,979.530,9608035.000
2022-12-16,984.250,978.360,985.870,973.700,10897108.000
2022-12-19,973.600,956.190,980.470,954.020,9767095.000
2022-12-20,955.080,952.770,959.960,950.470,8004557.000
2022-12-21,950.560,940.840,954.620,937.520,7709576.000
2022-12-22,944.570,930.800,946.040,928.910,8129995.000
2022-12-23,925.140,920.350,930.060,915.350,8693046.000
2022-12-26,920.740,951.110,951.660,920.560,9612288.000
2022-12-27,951.860,963.140,965.490,947.170,9259026.000
2022-12-28,960.390,957.270,963.360,955.490,8731054.000
2022-12-29,956.100,962.250,970.570,954.740,8302554.000
2022-12-30,963.290,959.900,971.040,958.990,7869400.000
2023-01-03,960.510,979.910,982.240,956.700,11260680.000
2023-01-04,982.030,972.380,983.840,966.290,9969593.000
2023-01-05,972.610,983.520,985.820,969.320,10431918.000
2023-01-06,985.990,991.100,1003.050,984.020,11444622.000
2023-01-09,994.740,988.670,1000.070,986.170,10381752.000
2023-01-10,989.850,990.320,998.160,985.220,9545891.000
2023-01-11,990.150,973.960,993.470,973.560,9935611.000
2023-01-12,978.360,974.190,979.360,971.500,9156746.000
2023-01-13,976.580,974.310,977.060,967.110,9132180.000
2023-01-16,972.700,992.610,1000.270,971.900,13295506.000
2023-01-17,994.640,1003.680,1006.590,993.450,10530097.000
2023-01-18,1006.690,1006.750,1009.870,1001.750,9384388.000
2023-01-19,1004.790,1023.650,1023.710,1004.080,10429025.000
2023-01-20,1025.000,1029.140,1034.590,1024.160,9878585.000
2023-01-30,1046.440,1031.610,1051.670,1031.360,14771562.000
2023-01-31,1027.820,1014.360,1029.620,1014.130,11950707.000
2023-02-01,1016.310,1026.400,1026.870,1010.400,13265177.000
2023-02-02,1030.330,1031.680,1041.240,1028.370,15089642.000
2023-02-03,1029.120,1033.870,1034.260,1016.910,13436468.000
2023-02-06,1031.920,1024.430,1038.270,1020.810,13472147.000
2023-02-07,1024.240,1020.170,1027.760,1014.480,13468151.000
2023-02-08,1021.160,1010.690,1026.220,1010.690,12411983.000
2023-02-09,1007.840,1036.860,1037.700,1004.670,15250329.000
2023-02-10,1034.220,1024.540,1038.600,1018.760,15500931.000
2023-02-13,1020.550,1024.040,1031.470,1017.590,14680015.000
2023-02-14,1026.450,1022.670,1032.590,1016.930,13336025.000
2023-02-15,1022.790,1024.220,1026.200,1016.250,14513134.000
2023-02-16,1024.120,1005.180,1030.430,998.960,18716012.000
2023-02-17,1002.080,986.330,1005.380,986.330,13315050.000
2023-02-20,985.110,998.830,999.980,979.830,12940704.000
2023-02-21,997.550,995.730,1003.180,989.980,12560806.000
2023-02-22,988.790,989.650,993.520,987.280,11471029.000
2023-02-23,988.200,992.460,997.760,988.200,11555135.000
2023-02-24,996.030,990.630,999.800,988.330,10365102.000
2023-02-27,988.110,986.280,996.120,983.920,13105651.000
2023-02-28,991.440,990.470,994.730,980.100,13030246.000
2023-03-01,989.110,994.630,998.060,984.590,16923481.000
2023-03-02,994.540,988.890,997.460,987.910,16987362.000
2023-03-03,996.100,998.900,1002.480,990.270,15729559.000
2023-03-06,999.720,1007.630,1011.030,991.660,16894733.000
2023-03-07,1005.620,990.580,1008.080,990.210,16561087.000
2023-03-08,989.710,994.890,996.810,987.970,13918512.000
2023-03-09,996.560,998.300,1003.200,992.210,14563629.000
2023-03-10,990.900,993.550,1003.890,987.500,15658157.000
2023-03-13,992.940,998.910,1000.020,991.160,15444107.000
2023-03-14,997.770,1013.390,1017.690,989.330,18844123.000
2023-03-15,1016.180,1007.300,1027.170,1007.180,17202626.000
2023-03-16,1001.520,992.440,1010.280,990.160,16082071.000
2023-03-17,1002.370,1015.760,1021.830,995.080,19707246.000
2023-03-20,1016.230,1025.320,1035.280,1012.450,20209621.000
2023-03-21,1024.530,1030.190,1030.190,1020.520,15983189.000
2023-03-22,1031.610,1034.050,1039.160,1028.310,17059582.000
2023-03-23,1030.470,1058.990,1058.990,1030.470,20085463.000
2023-03-24,1058.120,1060.990,1064.120,1051.050,20005305.000
2023-03-27,1057.170,1057.490,1070.180,1044.700,20895865.000
2023-03-28,1059.670,1038.630,1065.950,1037.010,17470067.000
2023-03-29,1039.790,1062.140,1076.060,1035.680,18078374.000
2023-03-30,1065.390,1065.690,1070.110,1053.530,16252582.000
2023-03-31,1063.290,1081.540,1083.160,1059.360,16056229.000
2023-04-03,1093.080,1126.490,1128.230,1090.750,22345749.000
2023-04-04,1122.380,1129.080,1147.730,1115.740,26905799.000
2023-04-06,1127.030,1146.960,1165.340,1127.030,26538856.000
2023-04-07,1149.540,1161.020,1162.570,1141.830,22424695.000
2023-04-10,1164.980,1129.170,1171.300,1126.050,26075743.000
2023-04-11,1132.220,1121.740,1138.620,1109.220,21302438.000
2023-04-12,1118.130,1129.410,1139.090,1112.450,21288229.000
2023-04-13,1122.370,1100.130,1124.710,1098.120,21642002.000
2023-04-14,1107.620,1136.210,1137.950,1095.960,23625575.000
2023-04-17,1134.050,1140.130,1151.400,1134.050,22116216.000
2023-04-18,1130.810,1129.820,1137.830,1114.830,19347408.000
2023-04-19,1131.740,1134.400,1151.680,1127.710,20114570.000
2023-04-20,1134.940,1164.950,1165.680,1134.940,27229110.000
2023-04-21,1162.940,1116.830,1167.540,1116.830,28650984.000
2023-04-24,1116.670,1096.380,1118.770,1089.960,23101640.000
2023-04-25,1095.950,1076.860,1102.390,1068.720,22597602.000
2023-04-26,1072.700,1069.010,1085.970,1060.130,22745807.000
2023-04-27,1063.530,1068.010,1082.030,1059.950,18987330.000
2023-04-28,1060.710,1087.870,1089.740,1060.710,20603987.000
2023-05-04,1077.850,1064.200,1082.840,1060.300,20084234.000
2023-05-05,1062.660,1049.090,1067.410,1047.090,19637312.000
2023-05-08,1050.100,1057.210,1063.890,1046.260,17974243.000
2023-05-09,1058.370,1034.210,1063.020,1034.190,19030597.000
2023-05-10,1031.130,1025.710,1038.110,1018.080,22885687.000
2023-05-11,1035.180,1025.970,1042.320,1025.570,17588344.000
2023-05-12,1028.360,1014.110,1036.880,1014.020,15956440.000
2023-05-15,1013.530,1025.790,1025.910,1006.300,16836051.000
2023-05-16,1029.330,1025.870,1033.820,1022.340,17614131.000
2023-05-17,1025.450,1029.650,1035.150,1024.180,16864851.000
2023-05-18,1031.400,1034.820,1038.520,1027.760,19118822.000
2023-05-19,1040.350,1040.160,1048.900,1036.970,20303218.000
2023-05-22,1040.830,1032.110,1048.470,1027.440,16554774.000
2023-05-23,1029.140,1016.110,1029.330,1016.110,15240431.000
2023-05-24,1011.120,1011.770,1024.070,1006.710,17253064.000
2023-05-25,1016.920,1021.720,1023.420,1006.790,16642805.000
2023-05-26,1023.860,1038.660,1040.670,1022.110,15634356.000
2023-05-29,1041.270,1028.380,1047.360,1026.830,18659870.000
2023-05-30,1025.830,1044.430,1047.470,1022.150,17457968.000
2023-05-31,1040.340,1053.910,1053.910,1037.630,18804422.000
2023-06-01,1048.950,1053.550,1067.230,1044.980,20426297.000
2023-06-02,1055.950,1053.290,1059.250,1047.370,18112868.000
2023-06-05,1063.150,1051.730,1068.300,1049.450,17502161.000
2023-06-06,1047.920,1022.980,1048.300,1021.000,18426402.000
2023-06-07,1023.950,1019.050,1026.460,1015.340,15778532.000
2023-06-08,1012.660,1007.120,1014.570,1001.750,17727474.000
2023-06-09,1008.900,1032.550,1032.550,1003.320,24684305.000
2023-06-12,1030.260,1026.640,1032.090,1022.400,20110923.000
2023-06-13,1025.210,1039.460,1043.960,1021.270,18988534.000
2023-06-14,1038.890,1035.310,1040.330,1031.070,19049046.000
2023-06-15,1036.310,1033.850,1038.720,1029.740,21223890.000
2023-06-16,1034.420,1052.880,1055.080,1032.310,21132829.000
2023-06-19,1053.340,1055.450,1059.980,1044.980,23703244.000
2023-06-20,1054.510,1055.410,1058.600,1043.500,23794637.000
2023-06-21,1050.120,1020.220,1051.020,1020.140,21023428.000
2023-06-26,1011.150,1010.310,1029.940,1006.350,19884217.000
2023-06-27,1011.080,1011.350,1018.900,1006.790,17787955.000
2023-06-28,1017.080,1008.220,1019.670,996.140,18586625.000
2023-06-29,1004.540,1001.460,1012.060,1001.460,17583075.000
2023-06-30,999.180,1005.150,1009.100,997.540,18964358.000
2023-07-03,1006.580,1008.400,1013.190,999.160,20382267.000
2023-07-04,1008.430,1015.400,1022.460,1004.120,19590085.000
2023-07-05,1013.380,1005.730,1016.810,1004.540,17758381.000
2023-07-06,1004.670,1002.110,1012.850,1001.370,15231644.000
2023-07-07,1001.020,991.850,1002.450,989.660,15591017.000
2023-07-10,992.740,993.730,1001.030,990.250,14149016.000
2023-07-11,996.560,1001.410,1003.220,994.260,15145939.000
2023-07-12,999.240,984.980,1000.010,984.030,16631197.000
2023-07-13,988.700,995.970,997.700,988.590,15896275.000
2023-07-14,999.790,991.560,1002.820,990.620,16804282.000
2023-07-17,988.880,984.820,988.880,982.050,14046030.000
2023-07-18,985.240,980.020,987.710,980.020,14128257.000
2023-07-19,987.000,975.110,988.550,973.340,12939210.000
2023-07-20,978.380,961.130,978.630,960.290,14404593.000
2023-07-21,958.890,955.550,963.970,953.930,12792754.000
2023-07-24,953.960,950.550,961.400,949.640,11588354.000
2023-07-25,961.520,964.400,965.690,956.370,13204061.000
2023-07-26,963.550,961.600,967.670,959.320,12189232.000
2023-07-27,962.610,952.300,964.620,950.810,12473734.000
2023-07-28,950.510,962.640,963.010,948.200,13856046.000
2023-07-31,961.690,968.990,973.900,961.690,15253905.000
2023-08-01,969.410,969.680,971.520,966.130,13167740.000
2023-08-02,967.690,968.440,973.390,965.990,12403790.000
2023-08-03,962.550,970.370,972.160,962.050,11962658.000
2023-08-04,972.480,975.780,976.980,968.820,13588524.000
2023-08-07,973.290,968.900,977.410,967.160,14225930.000
2023-08-08,967.430,965.530,971.720,965.040,11723743.000
2023-08-09,961.500,957.370,966.700,956.400,11707097.000
2023-08-10,957.220,959.170,961.860,954.420,10619882.000
2023-08-11,960.100,938.770,960.650,938.770,11783185.000
2023-08-14,932.090,930.500,934.250,919.940,12250489.000
2023-08-15,933.060,917.450,935.010,911.590,14348806.000
2023-08-16,916.590,901.790,920.350,901.680,12645853.000
2023-08-17,899.800,910.380,913.850,896.440,13304289.000
2023-08-18,924.300,904.250,924.300,904.250,16818811.000
2023-08-21,900.220,892.090,907.600,891.740,13615262.000
2023-08-22,896.740,901.130,903.780,877.620,15881399.000
2023-08-23,899.960,879.460,899.960,879.460,12681585.000
2023-08-24,883.800,885.480,895.910,880.030,14458614.000
2023-08-25,880.170,870.400,882.440,865.090,15625560.000
2023-08-28,926.000,880.190,927.630,878.260,20051901.000
2023-08-29,878.780,916.460,920.540,878.780,23830685.000
2023-08-30,935.820,939.650,950.700,928.420,27726785.000
2023-08-31,936.190,942.610,949.460,932.340,23925719.000
2023-09-01,944.250,934.790,945.720,927.210,17556889.000
2023-09-04,935.820,942.430,942.450,927.580,18012264.000
2023-09-05,942.560,930.630,947.950,929.250,17212030.000
2023-09-06,926.250,934.600,936.880,920.250,18227324.000
2023-09-07,929.360,899.830,929.360,899.300,17950120.000
2023-09-08,895.500,901.510,906.340,894.400,17510457.000
2023-09-11,901.540,907.510,915.990,895.620,20968300.000
2023-09-12,905.920,901.620,909.840,901.380,15686209.000
